date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2023-08-03,1839.9,1859.12,1826.0,1835.81,171148.052,-0.002225421313420739,-0.3956437327331699,0.9111371632827404,39.50438808892029,-1.8849281147238095,0.08261819206510129,43.41088422255087
2023-08-04,1835.81,1851.31,1815.74,1830.23,187699.4552,-0.0030441589885050746,0.09231305800163803,0.9936731126138668,38.46282850072014,-2.629837103101069,0.05627170121455303,42.80179811153861
2023-08-05,1830.24,1839.0,1827.5,1836.48,93657.3255,0.0034090539218762927,-0.6951993931497693,0.478099367867408,40.35957805741661,-2.4195330089432012,0.1418403892326723,40.385357707737775
2023-08-06,1836.48,1838.58,1825.86,1830.28,90403.9915,-0.003381735324192725,-0.035354227750040934,0.45459947565349007,39.07297294436996,-2.4105596577129482,0.10251905616510115,38.26189516727697
2023-08-07,1830.28,1847.0,1802.0,1829.1,224092.9059,-0.0006449180139247446,0.9077723041642152,1.1849580468684282,38.81933063455359,-2.202388088193672,0.12676726774207953,38.77634005164019
2023-08-08,1829.1,1876.51,1826.33,1856.3,236336.03,0.014761216633297103,0.053193923887494776,1.1990745402345857,47.31005206317277,-0.0641106451276201,0.4644270478842967,39.64273087743053
2023-08-09,1856.3,1871.99,1846.28,1855.35,191926.8343,-0.000511901726048869,-0.20814042018867873,1.0683368207849837,47.06437644252146,1.3755066148729114,0.4732013202948989,38.58898495799755
2023-08-10,1855.36,1865.95,1845.38,1852.47,127321.4553,-0.0015534737819997702,-0.4103991954444304,0.7456509556759611,46.27976729291169,2.175446942821381,0.45714680395030893,37.23189471905143
2023-08-11,1852.47,1857.26,1838.05,1848.84,113209.3103,-0.0019614683254447485,-0.117476623749587,0.688239552353623,45.25568922949058,2.479694437037587,0.41640861536283175,35.87983927857359
2023-08-12,1848.84,1854.01,1846.08,1849.93,63292.6476,0.0005893851369798142,-0.5814692381082214,0.41139274482798804,45.64463483657896,2.7528697578513235,0.45603620253698923,33.79047024874023
2023-08-13,1849.94,1862.0,1834.51,1840.73,120674.1364,-0.0049855684653570265,0.6453246543638631,0.8071207096184325,42.87573366140032,2.3292912329160984,0.3139421179987285,33.32104453040851
2023-08-14,1840.73,1856.5,1835.0,1845.5,150196.1203,0.0025880114167460277,0.21884808366096387,0.9763380237294229,44.74722177789929,2.377429419684047,0.4018491773855379,32.443002891472844
2023-08-15,1845.5,1847.36,1814.0,1828.98,186081.6989,-0.008991809076098534,0.21424390990272357,1.2987321462928456,39.87483571239707,1.354610314151147,0.16712114782531662,32.51092193528265
