coin,timeframe,best_experiment_rmse,baseline_rmse,rmse_improvement_vs_baseline
BTC,1d,0.0244266061133034,0.01916270064901871,-0.00526390546428469
ETH,1d,0.03734665161174227,0.037895922385968187,0.000549270774225917
