cov_lags,runs,mean_rmse,mean_mae,mean_diracc,mean_strategy_return
14,704,0.031606054637915146,0.02224547344451431,47.61046675432006,-0.4709596154598787
7,352,0.03289536381203653,0.023583741031101627,48.98102930127723,-0.14968757534656224
