run_id,coin,timeframe,target,feature_combo,n_features,param_tag,lags,cov_lags,max_depth,max_leaves,min_child_weight,subsample,colsample_bytree,gamma,rmse,mae,direction_acc_pct,strategy_return_net,rmse_early,rmse_late,diracc_early,diracc_late,out_dir
20260407_104723,ETH,1d,log_ret_close,high__log_ret_vol__macd__log_ret_close,3,base_l7_cov7,7,7,4,10,7,0.89,0.93,0.005,0.039298699714038335,0.028837485914557908,52.066115702479344,0.31202997012383976,0.03936499295760947,0.03923229445081782,55.371900826446286,48.760330578512395,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_high__log_ret_vol__macd__log_ret_close/base_l7_cov7/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,open__close__bollinger_bands__log_ret_close,3,deeper_l14_cov14,14,14,6,16,5,0.9,0.9,0.01,0.03930728910176296,0.028411480407753428,50.0,-0.3614371247874013,0.04106562323819097,0.03746652560777548,54.54545454545454,45.45454545454545,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_open__close__bollinger_bands__log_ret_close/deeper_l14_cov14/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,high__close__bollinger_bands__log_ret_close,3,deeper_l14_cov14,14,14,6,16,5,0.9,0.9,0.01,0.03932022368669017,0.028249294646020152,49.586776859504134,-0.33780598338213375,0.040954716928321665,0.03761477293383206,53.71900826446281,45.45454545454545,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_high__close__bollinger_bands__log_ret_close/deeper_l14_cov14/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,close__log_ret_vol__rsi__log_ret_close,3,base_l7_cov7,7,7,4,10,7,0.89,0.93,0.005,0.03932915575571756,0.028494708946335826,52.47933884297521,0.5980768026728295,0.03990309228693605,0.03874671871081792,52.892561983471076,52.066115702479344,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_close__log_ret_vol__rsi__log_ret_close/base_l7_cov7/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,open__volatility__log_ret_close,2,deeper_l14_cov14,14,14,6,16,5,0.9,0.9,0.01,0.03933317094931536,0.028593344496633564,46.28099173553719,-0.548518957486834,0.04064586762675901,0.03797512499945348,49.586776859504134,42.97520661157025,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_open__volatility__log_ret_close/deeper_l14_cov14/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,high__low__macd__log_ret_close,3,deeper_l14_cov14,14,14,6,16,5,0.9,0.9,0.01,0.03933985675117962,0.02812674915881484,50.0,-0.2512479875916931,0.03995901672803211,0.03871079488379844,54.54545454545454,45.45454545454545,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_high__low__macd__log_ret_close/deeper_l14_cov14/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,low__close__atr__log_ret_close,3,deeper_l14_cov14,14,14,6,16,5,0.9,0.9,0.01,0.039349720436648826,0.028550371617287115,49.586776859504134,-0.15974250720856242,0.04038759803814035,0.03828371614138886,57.02479338842975,42.14876033057851,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_low__close__atr__log_ret_close/deeper_l14_cov14/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,close__log_ret_vol__rsi__log_ret_close,3,deeper_l14_cov14,14,14,6,16,5,0.9,0.9,0.01,0.03935208364986365,0.02822216039939969,47.93388429752066,-0.02497120842767142,0.03947776584814512,0.03922599876116297,54.54545454545454,41.32231404958678,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_close__log_ret_vol__rsi__log_ret_close/deeper_l14_cov14/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,high__low__log_ret_close,2,deeper_l14_cov14,14,14,6,16,5,0.9,0.9,0.01,0.0393548621408768,0.02845244961286,51.652892561983464,0.3229119602198297,0.040695545385520115,0.03796686626559939,53.71900826446281,49.586776859504134,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_high__low__log_ret_close/deeper_l14_cov14/log_ret_close/ETH/1d
20260407_104723,ETH,1d,log_ret_close,volatility__rsi__macd__log_ret_close,3,base_l7_cov7,7,7,4,10,7,0.89,0.93,0.005,0.039441619036355076,0.028191860404818494,50.0,-0.3426843481973694,0.03893308030142002,0.03994368388946011,54.54545454545454,45.45454545454545,experiment_output/runs/20260407_104723/model_predictions/XGBOOST/input_volatility__rsi__macd__log_ret_close/base_l7_cov7/log_ret_close/ETH/1d
