date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2023-08-03,1839.9,1859.12,1826.0,1835.81,171148.052,-0.002225421313420739,-0.3956437327331699,0.9111371632827404,40.141607472575586,-1.8849281147238095,0.08261819206510318,44.51085526694267
2023-08-04,1835.81,1851.31,1815.74,1830.23,187699.4552,-0.0030441589885050746,0.09231305800163803,0.9936731126138668,39.20290440030804,-2.629837103101069,0.056271701214555145,43.872222747875334
2023-08-05,1830.24,1839.0,1827.5,1836.48,93657.3255,0.0034090539218762927,-0.6951993931497693,0.478099367867408,40.87078924834776,-2.4195330089432012,0.141840389232676,41.559921123027095
2023-08-06,1836.48,1838.58,1825.86,1830.28,90403.9915,-0.003381735324192725,-0.035354227750040934,0.45459947565349007,39.707072056741744,-2.4105596577129482,0.10251905616510538,39.49992675709659
2023-08-07,1830.28,1847.0,1802.0,1829.1,224092.9059,-0.0006449180139247446,0.9077723041642152,1.1849580468684282,39.47668920514219,-2.202388088193672,0.12676726774208352,39.89278913158969
2023-08-08,1829.1,1876.51,1826.33,1856.3,236336.03,0.014761216633297103,0.053193923887494776,1.1990745402345857,47.09640925717422,-0.0641106451276201,0.46442704788429706,40.627589907904714
2023-08-09,1856.3,1871.99,1846.28,1855.35,191926.8343,-0.000511901726048869,-0.20814042018867873,1.0683368207849837,46.87444051538267,1.3755066148729114,0.4732013202948994,39.56204777162581
2023-08-10,1855.36,1865.95,1845.38,1852.47,127321.4553,-0.0015534737819997702,-0.4103991954444304,0.7456509556759611,46.164107447703174,2.175446942821381,0.45714680395030977,38.20547293079539
2023-08-11,1852.47,1857.26,1838.05,1848.84,113209.3103,-0.0019614683254447485,-0.117476623749587,0.688239552353623,45.233671259232295,2.479694437037587,0.4164086153628334,36.848653435738576
2023-08-12,1848.84,1854.01,1846.08,1849.93,63292.6476,0.0005893851369798142,-0.5814692381082214,0.41139274482798804,45.58830411448075,2.7528697578513235,0.45603620253699023,34.78303533318583
2023-08-13,1849.94,1862.0,1834.51,1840.73,120674.1364,-0.0049855684653570265,0.6453246543638631,0.8071207096184325,43.05418665122359,2.3292912329160984,0.3139421179987326,34.26210423795827
2023-08-14,1840.73,1856.5,1835.0,1845.5,150196.1203,0.0025880114167460277,0.21884808366096387,0.9763380237294229,44.76844322912466,2.377429419684047,0.40184917738554005,33.35052536381839
2023-08-15,1845.5,1847.36,1814.0,1828.98,186081.6989,-0.008991809076098534,0.21424390990272357,1.2987321462928456,40.249369254137804,1.354610314151147,0.1671211478253265,33.35120212354564
2023-08-16,1828.98,1831.52,1798.17,1807.81,205430.7368,-0.011642266459590545,0.09892311124838216,1.5094067725684261,35.32793976061964,-0.5856857743327151,-0.05528186127935098,33.35111625757809
2023-08-17,1807.81,1809.99,1550.0,1681.49,812138.2159,-0.07243586284279058,1.3745616123809175,5.883804168024499,19.78357648384408,-9.708417588176822,-0.49094826846809136,49.53960795346537
2023-08-18,1681.49,1699.4,1641.02,1661.59,538083.1018,-0.011905329843399315,-0.41165752975641823,2.2813625357407536,18.40934879386104,-16.04112906052283,-0.26832748514021454,50.171064528217855
