date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2023-03-08,1561.95,1570.89,1523.61,1532.38,460101.7658,1678319999999,714552395.99327900,647197,227125.84140000,352776402.72266000,0,705050743.8766041,,
2023-03-09,1532.38,1546.45,1408.0,1437.32,718485.1364,1678406399999,1072396877.90757800,914935,340420.81590000,508749569.09481200,0,1032693056.2504479,-0.06404181387886965,
2023-03-10,1437.32,1439.43,1368.39,1426.44,960262.4509,1678492799999,1353741388.82725900,1155209,462418.62320000,651918990.29194400,0,1369756770.461796,-0.007598438659315754,
2023-03-11,1426.43,1478.07,1408.4,1471.97,1374859.6201,1678579199999,1987926852.34837400,1467256,674055.15040000,975054688.50936100,0,2023752114.998597,0.031419809865822046,
2023-03-12,1471.93,1594.19,1448.3,1580.33,1002355.0929,1678665599999,1506839740.46965400,1253899,507616.32810000,763938923.68304300,0,1584051823.962657,0.07103204632577942,
2023-03-13,1580.33,1693.49,1565.0,1673.45,1228063.6053,1678751999999,1992277884.79634100,1671283,631386.30580000,1024622574.37087000,0,2055103040.289285,0.0572536777306647,
2023-03-14,1673.44,1780.02,1655.24,1699.4,1283321.2355,1678838399999,2195733827.91012200,1750035,666065.68120000,1139199433.36359000,0,2180876107.6087,0.015387883866641694,
2023-03-15,1699.41,1716.9,1611.0,1649.96,963142.4833,1678924799999,1602460705.89569500,1388384,463785.20990000,771970600.26940200,0,1589146571.745668,-0.029524202392908983,
2023-03-16,1649.95,1691.42,1632.18,1673.73,627985.6119,1679011199999,1040043241.14028500,1004406,325261.19930000,538689586.43263500,0,1051078358.205387,0.014303623541625399,
2023-03-17,1673.73,1800.0,1662.65,1789.27,907528.2825,1679097599999,1569265196.45290500,1293055,476255.49480000,824016896.56973400,0,1623813130.028775,0.06675304670589899,
2023-03-18,1789.26,1841.0,1747.47,1758.84,711614.731,1679183999999,1280189359.42454900,1115890,353131.96710000,635373026.20256500,0,1251616453.47204,-0.01715321459684649,
2023-03-19,1758.84,1841.36,1757.92,1780.68,541131.8908,1679270399999,972006261.58020900,919093,275030.17560000,494016367.25881900,0,963582735.3097441,0.01234081297882561,
2023-03-20,1780.67,1803.05,1722.0,1732.78,682848.1248,1679356799999,1205036446.95122100,1083767,346231.46580000,611012606.17270500,0,1183225573.690944,-0.027268258638845744,
2023-03-21,1732.77,1835.0,1717.01,1801.23,742348.4999,1679443199999,1324018564.21103500,1166036,399394.24600000,712603682.26002500,0,1337140388.474877,0.03874270968448279,
2023-03-22,1801.23,1819.98,1710.12,1734.33,891287.6009,1679529599999,1581074700.20938000,1286030,432312.72670000,767322678.06559900,0,1545786824.868897,-0.03784859319942058,
2023-03-23,1734.34,1857.16,1729.35,1813.79,732061.103,1679615999999,1312199315.57750500,1074713,388644.19100000,697106769.81296200,0,1327805108.01037,0.044797407058995375,
2023-03-24,1813.78,1818.99,1726.4,1749.57,564770.1417,1679702399999,1001546184.53213500,855600,283157.34940000,502222091.71024700,0,988104896.814069,-0.036048535272103166,
2023-03-25,1749.57,1763.23,1713.09,1741.88,355679.3743,1679788799999,620341997.18351200,620651,174749.28340000,304837439.68175700,0,619550788.5056841,-0.0044050537370114995,
2023-03-26,1741.88,1801.0,1739.31,1773.88,354933.2372,1679875199999,627660488.27267000,592618,178518.26690000,315691892.31925400,0,629608970.804336,0.018204248136497014,
2023-03-27,1773.88,1780.48,1686.13,1715.22,570563.5023,1679961599999,987197970.21984000,810253,274628.43020000,475175903.71022400,0,978641930.4150062,-0.0336278855823684,
2023-03-28,1715.21,1795.73,1701.13,1772.99,536511.3973,1680047999999,935507384.14967800,766887,286377.21640000,499476096.82435700,0,951229342.298927,0.03312603464411623,
2023-03-29,1773.0,1827.99,1772.48,1793.07,536865.5972,1680134399999,967342311.08223400,810500,283946.54590000,511607922.31168300,0,962637596.3714039,0.011261847656573565,
2023-03-30,1793.06,1829.69,1763.0,1793.61,579690.0394,1680220799999,1039397383.78040000,876484,299825.65610000,537640857.62762200,0,1039737851.568234,0.00030111412452793473,
2023-03-31,1793.6,1847.28,1777.91,1821.52,554525.4762,1680307199999,1006896937.02525400,902956,289189.75500000,525237162.94212700,0,1010079245.407824,0.015440968668430699,
2023-04-01,1821.52,1842.83,1807.81,1820.79,272904.9674,1680393599999,497460628.07619100,579259,138942.81390000,253278130.99517100,0,496902635.59224606,-0.0004008445243677272,
2023-04-02,1820.8,1824.81,1771.7,1794.51,322122.9385,1680479999999,580909276.16417100,637705,162593.22360000,293256522.06304200,0,578052834.367635,-0.014538468670514781,
2023-04-03,1794.51,1839.99,1762.77,1810.51,628503.6619,1680566399999,1131436800.43707300,1098681,318256.91810000,573104096.04297000,0,1137912164.906569,0.008876569371509824,
2023-04-04,1810.51,1891.91,1802.01,1870.37,622208.6411,1680652799999,1151551698.65326800,1087425,324318.04740000,599946499.35902300,0,1163760376.0542068,0.032527698712763176,
2023-04-05,1870.38,1942.98,1864.58,1908.69,548595.5155,1680739199999,1045846831.79156300,1077031,281338.72500000,536320635.93476500,0,1047098774.479695,0.020280870614802105,
2023-04-06,1908.68,1909.91,1853.7,1872.41,396241.4352,1680825599999,743618300.02400000,916688,190334.89780000,357167485.35243600,0,741926425.682832,-0.019190771703289755,
2023-04-07,1872.41,1882.61,1841.46,1863.72,284256.4873,1680911999999,528718750.37856600,829061,143802.12850000,267474497.28292800,0,529774500.51075596,-0.0046518807808926255,0.1775854893435485
