,LSTM
BTC,"[0.035567606716586354, 0.035607350047481647, 0.03804700811571882, 0.031323307581632834, 0.02688201906413155]"
ETH,"[0.044394176695442295, 0.04091661746788972, 0.052060536710277196, 0.045768901524185834, 0.027848381289561498]"
