coin,timeframe,best_experiment_rmse,baseline_rmse,rmse_improvement_vs_baseline
BTC,1d,0.024648696346780564,0.01916270064901871,-0.005485995697761852
ETH,1d,0.03777604498913555,0.037895922385968187,0.0001198773968326336
