feature,mean_rmse_with,mean_rmse_without,rmse_delta_without_minus_with,mean_diracc_with,mean_diracc_without
log_ret_vol,0.03191426531682772,0.031975039137198,6.077382037027873e-05,48.70006887052342,47.819983047255775
atr,0.03193565383210432,0.03196187697395087,2.6223141846554165e-05,48.48484848484848,47.95242636151727
bollinger_bands,0.03195234885687689,0.031951603112552365,-7.457443245220685e-07,48.123278236914594,48.174931129476576
volatility,0.03200910539103756,0.03191667601460733,-9.242937643023225e-05,47.88653581267217,48.320618775164235
rsi,0.03205272202658014,0.031889835008119594,-0.00016288701846054604,47.89944903581267,48.31267217630854
macd,0.032067803895052586,0.031880553858290396,-0.00018725003676219043,48.316976584022036,48.05573214664124
