date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2023-05-12,1794.31,1818.63,1740.0,1807.45,565539.8309,0.007302038414394474,0.07992911002924075,1.0817142525449104,41.6682925886112,-5.531926733937503,0.12565637357044446,80.28721975877706
2023-05-13,1807.45,1817.03,1785.23,1795.11,212895.4373,-0.006850710751213462,-0.9769795874307547,0.4051118897039557,40.505668424563176,-5.968941623084497,0.10093299007114702,76.52069403560266
2023-05-14,1795.12,1824.0,1789.82,1799.21,218101.0977,0.00228137827364705,0.024157565725866803,0.4649711048468707,41.09376451147422,-5.349458810075561,0.1521425914020183,73.25207146548634
2023-05-15,1799.2,1846.7,1785.05,1816.2,388171.9261,0.009398726600278628,0.5764896437775473,0.8798440202927821,43.58251099062358,-3.2654558324996046,0.2623173769444652,72.36155111115097
2023-05-16,1816.21,1832.64,1796.2,1824.21,311238.6786,0.0044006103303644295,-0.22088827684338064,0.7641418464039496,44.767295905674665,-0.9384068546864199,0.3176604933649615,69.61899090078163
2023-05-17,1824.21,1837.5,1783.68,1822.12,352097.9913,-0.0011463582445250253,0.12334944808989157,0.8623884768382584,44.50467466597357,0.7765713092926205,0.32663396454035465,68.41866566878004
2023-05-18,1822.12,1831.92,1771.12,1800.56,293755.311,-0.01190293073122728,-0.18116237593642914,0.8000678365419122,41.78170798065009,0.7737134780918282,0.24120042349980805,67.84245861141086
2023-05-19,1800.56,1829.54,1796.81,1812.32,243116.4676,0.006510064842062846,-0.18920652624242074,0.726712389990686,43.80149110166029,1.8189402462416027,0.3221806509938598,65.19798252366121
2023-05-20,1812.31,1828.87,1807.06,1819.42,127754.4349,0.003909976510074742,-0.643430675111377,0.4428499900383331,45.041195845586124,3.164757576004291,0.37307206839508517,61.942888720429764
2023-05-21,1819.42,1828.98,1797.21,1804.91,161517.8053,-0.008007039934467386,0.23450544218015246,0.584532958410793,42.95570600355687,3.242116440315044,0.3060011032579975,59.68733731618956
2023-05-22,1804.91,1828.27,1792.01,1817.35,237498.9423,0.006868667024692243,0.3855477838698125,0.8854101035494696,45.29437006004935,4.232871433814125,0.38415502434747323,57.94184940591005
2023-05-23,1817.36,1872.5,1815.24,1854.05,396869.6097,0.019993039425737713,0.5134446177053604,1.608639278676009,51.59875254309866,7.282757365757426,0.593743123057769,57.89120310571784
2023-05-24,1854.06,1854.09,1777.6,1799.89,420846.1445,-0.029646883572655547,0.05865952669782892,1.6252376947903255,43.61132258745414,5.648314806012497,0.31662614816116985,59.26875652363602
