Model_ID,Coin,TimeFrame,RMSE,Direction_Acc,Features
log_ret_close,BTC,1d,0.03201563217576127,51.24%,"['log_ret_vol', 'volatility', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.032027736188955866,45.45%,"['rsi', 'macd', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.032094963270457695,50.83%,"['log_ret_vol', 'volatility', 'rsi', 'log_ret_close']"
log_ret_close,BTC,1d,0.03211637548149127,44.21%,"['log_ret_vol', 'macd', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.032411542937281414,51.65%,"['volatility', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03251291761415859,45.45%,"['log_ret_vol', 'bollinger_bands', 'atr', 'log_ret_close']"
log_ret_close,BTC,1d,0.03264217385021421,49.17%,"['volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.03270760176840434,45.45%,"['log_ret_vol', 'volatility', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.03275621858119408,51.65%,"['volatility', 'rsi', 'macd', 'log_ret_close']"
log_ret_close,BTC,1d,0.03279048922369774,48.76%,"['log_ret_vol', 'log_ret_close']"
log_ret_close,BTC,1d,0.03300271383368584,45.45%,"['log_ret_vol', 'bollinger_bands', 'log_ret_close']"
log_ret_close,BTC,1d,0.03320330411949515,50.00%,"['log_ret_vol', 'volatility', 'rsi', 'bollinger_bands', 'log_ret_close']"
